onset	duration	frameidx	videotime	audiotime
0.025	0.033	1	0.040	2.692
0.058	0.042	2	0.080	2.725
0.100	0.042	3	0.120	2.759
0.142	0.150	4	0.160	2.800
0.292	0.050	5	0.200	0.150
0.342	0.050	6	0.240	0.200
0.392	0.025	7	0.280	0.250
0.417	0.050	8	0.320	0.275
0.467	0.050	9	0.360	0.325
0.517	0.025	10	0.400	0.375
0.542	0.050	11	0.440	0.400
0.592	0.025	12	0.480	0.450
0.617	0.050	13	0.520	0.475
0.667	0.050	14	0.560	0.525
0.717	0.025	15	0.600	0.575
0.742	0.050	16	0.640	0.600
0.792	0.025	17	0.680	1.008
0.817	0.050	18	0.720	1.033
0.867	0.050	19	0.760	1.083
0.917	0.025	20	0.800	1.133
0.942	0.050	21	0.840	1.158
0.992	0.025	22	0.880	1.208
1.017	0.050	23	0.920	1.233
1.067	0.050	24	0.960	1.251
1.117	0.025	25	1.000	1.301
1.142	0.050	26	1.040	1.326
1.192	0.025	27	1.080	1.376
1.217	0.050	28	1.120	1.401
1.267	0.050	29	1.160	1.451
1.317	0.025	30	1.200	1.501
1.342	0.050	31	1.240	1.526
1.392	0.025	32	1.280	1.584
1.417	0.050	33	1.320	1.609
1.467	0.050	34	1.360	1.659
1.517	0.025	35	1.400	1.709
1.542	0.050	36	1.440	1.734
1.592	0.025	37	1.480	1.784
1.617	0.050	38	1.520	1.809
1.667	0.050	39	1.560	1.859
1.717	0.025	40	1.600	1.870
1.742	0.050	41	1.640	1.895
1.792	0.025	42	1.680	1.945
1.817	0.050	43	1.720	1.970
1.867	0.050	44	1.760	2.020
1.917	0.025	45	1.800	2.070
1.942	0.050	46	1.840	2.095
1.992	0.025	47	1.880	2.145
2.017	0.050	48	1.920	2.170
2.067	0.050	49	1.960	2.220
2.117	0.025	50	2.000	2.270
2.142	0.050	51	2.040	2.295
2.192	0.025	52	2.080	2.345
2.217	0.050	53	2.120	2.370
2.267	0.050	54	2.160	2.420
2.317	0.025	55	2.200	2.573
2.342	0.050	56	2.240	2.598
2.392	0.025	57	2.280	2.648
2.417	0.050	58	2.320	2.673
2.467	0.050	59	2.360	2.723
2.517	0.025	60	2.400	2.773
2.542	0.050	61	2.440	2.798
2.592	0.025	62	2.480	2.848
2.617	0.050	63	2.520	2.881
2.667	0.050	64	2.560	2.931
2.717	0.025	65	2.600	2.981
2.742	0.050	66	2.640	3.006
2.792	0.025	67	2.680	3.056
2.817	0.050	68	2.720	3.081
2.867	0.050	69	2.760	3.131
2.917	0.025	70	2.800	3.181
2.942	0.050	71	2.840	3.174
2.992	0.025	72	2.880	3.224
3.017	0.050	73	2.920	3.249
3.067	0.050	74	2.960	3.299
3.117	0.025	75	3.000	3.349
3.142	0.050	76	3.040	3.374
3.192	0.025	77	3.080	3.424
3.217	0.050	78	3.120	3.449
3.267	0.050	79	3.160	3.420
3.317	0.025	80	3.200	3.470
3.342	0.050	81	3.240	3.495
3.392	0.025	82	3.280	3.545
3.417	0.050	83	3.320	3.570
3.467	0.050	84	3.360	3.620
3.517	0.025	85	3.400	3.670
3.542	0.050	86	3.440	3.695
3.592	0.025	87	3.480	3.745
3.617	0.050	88	3.520	3.770
3.667	0.050	89	3.560	3.820
3.717	0.025	90	3.600	3.870
3.742	0.050	91	3.640	3.896
3.792	0.025	92	3.680	3.946
3.817	0.050	93	3.720	3.971
3.867	0.050	94	3.760	4.044
3.917	0.025	95	3.800	4.094
3.942	0.050	96	3.840	4.119
3.992	0.025	97	3.880	4.169
4.017	0.050	98	3.920	4.194
4.067	0.050	99	3.960	4.244
4.117	0.025	100	4.000	4.294
4.142	0.050	101	4.040	4.319
4.192	0.025	102	4.080	4.457
4.217	0.050	103	4.120	4.482
4.267	0.050	104	4.160	4.532
4.318	0.025	105	4.200	4.582
4.342	0.050	106	4.240	4.607
4.392	0.025	107	4.280	4.657
4.417	0.050	108	4.320	4.682
4.467	0.050	109	4.360	4.732
4.517	0.025	110	4.400	4.790
4.542	0.050	111	4.440	4.815
4.592	0.025	112	4.480	4.865
4.618	0.050	113	4.520	4.890
4.667	0.050	114	4.560	4.940
4.718	0.025	115	4.600	4.990
4.743	0.050	116	4.640	5.015
4.793	0.025	117	4.680	5.065
4.818	0.050	118	4.720	4.971
4.868	0.050	119	4.760	5.021
4.918	0.025	120	4.800	5.071
4.943	0.050	121	4.840	5.096
4.993	0.025	122	4.880	5.146
5.018	0.050	123	4.920	5.171
5.068	0.050	124	4.960	5.221
5.118	0.025	125	5.000	5.271
5.143	0.050	126	5.040	5.296
5.193	0.025	127	5.080	5.346
5.218	0.050	128	5.120	5.371
5.268	0.050	129	5.160	5.421
5.318	0.025	130	5.200	5.471
5.343	0.050	131	5.240	5.496
5.393	0.025	132	5.280	5.546
5.418	0.050	133	5.320	5.571
5.468	0.050	134	5.360	5.724
5.518	0.025	135	5.400	5.774
5.543	0.050	136	5.440	5.799
5.593	0.025	137	5.480	5.849
5.618	0.050	138	5.520	5.874
5.668	0.050	139	5.560	5.924
5.718	0.025	140	5.600	5.974
5.743	0.050	141	5.640	6.007
5.793	0.025	142	5.680	6.057
5.818	0.050	143	5.720	6.082
5.868	0.050	144	5.760	6.132
5.918	0.025	145	5.800	6.182
5.943	0.050	146	5.840	6.207
5.993	0.025	147	5.880	6.257
6.018	0.050	148	5.920	6.282
6.068	0.050	149	5.960	6.260
6.118	0.025	150	6.000	6.310
6.143	0.050	151	6.040	6.335
6.193	0.025	152	6.080	6.385
6.218	0.050	153	6.120	6.410
6.268	0.050	154	6.160	6.460
6.318	0.025	155	6.200	6.510
6.343	0.050	156	6.240	6.535
6.393	0.025	157	6.280	6.546
6.418	0.050	158	6.320	6.571
6.468	0.050	159	6.360	6.621
6.518	0.025	160	6.400	6.671
6.543	0.050	161	6.440	6.696
6.593	0.025	162	6.480	6.746
6.618	0.050	163	6.520	6.771
6.668	0.050	164	6.560	6.821
6.718	0.025	165	6.600	6.871
6.743	0.050	166	6.640	6.896
6.793	0.025	167	6.680	6.946
6.818	0.050	168	6.720	6.971
6.868	0.050	169	6.760	7.021
6.918	0.025	170	6.800	7.071
6.943	0.050	171	6.840	7.096
6.993	0.025	172	6.880	7.249
7.018	0.050	173	6.920	7.274
7.068	0.050	174	6.960	7.324
7.118	0.025	175	7.000	7.374
7.143	0.050	176	7.040	7.399
7.193	0.025	177	7.080	7.449
7.218	0.050	178	7.120	7.474
7.268	0.050	179	7.160	7.524
7.318	0.025	180	7.200	7.582
7.343	0.050	181	7.240	7.607
7.393	0.025	182	7.280	7.657
7.418	0.050	183	7.320	7.682
7.468	0.050	184	7.360	7.732
7.518	0.025	185	7.400	7.782
7.543	0.050	186	7.440	7.807
7.593	0.025	187	7.480	7.857
7.618	0.050	188	7.520	7.890
7.668	0.050	189	7.560	7.940
7.718	0.025	190	7.600	7.990
7.743	0.050	191	7.640	8.015
7.793	0.025	192	7.680	8.065
7.818	0.050	193	7.720	8.090
7.868	0.050	194	7.760	8.140
7.918	0.025	195	7.800	8.190
